trial,trial_type,event_type,absolute_time,response_time,response,result
3,sad_low,11,599.4620999999999,NA,NA,NA
3,sad_low,12,599.9628999999999,0.4861999999999398,right,correct
3,sad_low,6,600.9793000000001,NA,NA,NA
3,sad_low,7,601.6617,0.6738999999998896,right,correct
3,sad_low,9,601.8995999999999,NA,-1,correct sad
3,sad_low,3,603.3943999999999,NA,NA,NA
0,MAIN,8,606.4003,NA,NA,NA
NA,MAIN,8,638.1958999999999,NA,NA,NA
NA,MAIN,3,638.1965999999999,NA,NA,NA
0,angry_low,5,641.1793,NA,NA,low
0,angry_low,11,642.3895,NA,NA,NA
0,angry_low,12,643.4069,1.0070000000000618,right,incorrect
0,angry_low,6,644.4233999999999,NA,NA,NA
0,angry_low,7,645.0388,0.613800000000083,left,correct
0,angry_low,9,645.2416999999999,NA,-2,correct angry
0,angry_low,3,646.7556999999999,NA,NA,NA
1,sad_high,5,648.7610999999998,NA,NA,high
1,sad_high,11,649.9718,NA,NA,NA
1,sad_high,12,650.3725999999998,0.3931000000001177,left,incorrect
1,sad_high,6,651.389,NA,NA,NA
1,sad_high,7,651.9391999999999,0.5372000000002117,right,correct
1,sad_high,9,652.2095,NA,6,correct sad
1,sad_high,3,653.7212,NA,NA,NA
2,angry_low,5,656.7418999999999,NA,NA,low
2,angry_low,11,657.954,NA,NA,NA
2,angry_low,12,658.105,0.13859999999988304,left,correct
2,angry_low,6,659.1213,NA,NA,NA
2,angry_low,7,659.7535999999999,0.6204999999999927,left,correct
2,angry_low,9,659.9404,NA,-4,correct angry
2,angry_low,3,661.4535,NA,NA,NA
3,sad_high,5,664.4748000000001,NA,NA,high
3,sad_high,11,665.6863999999999,NA,NA,NA
3,sad_high,12,665.8205,0.1190999999998894,right,correct
3,sad_high,6,666.837,NA,NA,NA
3,sad_high,7,667.4858999999999,0.6401999999999362,right,correct
3,sad_high,9,667.655,NA,-6,correct sad
3,sad_high,3,669.1691999999999,NA,NA,NA
4,sad_high,5,671.1745,NA,NA,high
4,sad_high,11,672.3855999999998,NA,NA,NA
4,sad_high,12,672.6365,0.2437999999999647,right,correct
4,sad_high,6,673.653,NA,NA,NA
4,sad_high,7,674.0187,0.3532999999999902,right,correct
4,sad_high,9,674.4718,NA,29,correct sad
4,sad_high,3,675.9852,NA,NA,NA
5,angry_low,5,679.0093,NA,NA,low
