trial,trial_type,event_type,absolute_time,response_time,response,result
0,angry_low,6,397.342,NA,NA,NA
0,angry_low,9,398.152,NA,-200,too slow angry
NA,angry_low,3,399.651,NA,NA,NA
1,sad_high,5,401.653,NA,NA,high
1,sad_high,11,402.858,NA,NA,NA
1,sad_high,12,403.171,0.3089999999999691,right,correct
1,sad_high,6,404.181,NA,NA,NA
1,sad_high,7,404.887,0.7050000000000409,right,correct
1,sad_high,9,404.988,NA,-14,correct sad
1,sad_high,3,406.491,NA,NA,NA
2,angry_low,5,409.493,NA,NA,low
2,angry_low,11,410.69100000000003,NA,NA,NA
2,angry_low,12,410.85900000000004,0.16300000000001091,left,correct
2,angry_low,6,411.865,NA,NA,NA
2,angry_low,7,412.124,0.25799999999998136,left,correct
2,angry_low,9,412.672,NA,43,correct angry
2,angry_low,3,414.171,NA,NA,NA
3,sad_high,5,417.18,NA,NA,high
3,sad_high,11,418.379,NA,NA,NA
3,sad_high,12,418.805,0.4189999999999827,right,correct
3,sad_high,6,419.81100000000004,NA,NA,NA
3,sad_high,7,420.192,0.37999999999999545,right,correct
3,sad_high,9,420.617,NA,27,correct sad
3,sad_high,3,422.117,NA,NA,NA
4,sad_high,5,424.127,NA,NA,high
4,sad_high,11,425.32300000000004,NA,NA,NA
4,sad_high,12,425.747,0.4210000000000491,right,correct
4,sad_high,6,426.754,NA,NA,NA
4,sad_high,7,426.89,0.13599999999996726,right,correct
4,sad_high,9,427.56,NA,58,correct sad
4,sad_high,3,429.059,NA,NA,NA
5,angry_low,5,432.062,NA,NA,low
5,angry_low,11,433.26,NA,NA,NA
5,angry_low,12,433.57300000000004,0.3090000000000259,left,correct
5,angry_low,6,434.57300000000004,NA,NA,NA
5,angry_low,7,434.865,0.2909999999999968,left,correct
5,angry_low,9,435.38100000000003,NA,39,correct angry
5,angry_low,3,436.879,NA,NA,NA
6,sad_high,5,439.382,NA,NA,high
6,sad_high,11,440.587,NA,NA,NA
6,sad_high,12,440.86400000000003,0.27600000000001046,left,incorrect
6,sad_high,6,441.865,NA,NA,NA
6,sad_high,7,442.128,0.2629999999999768,left,incorrect
6,sad_high,9,442.671,NA,-50,wrong sad
6,sad_high,3,444.17,NA,NA,NA
7,angry_low,5,447.17400000000004,NA,NA,low
7,angry_low,11,448.372,NA,NA,NA
7,angry_low,12,448.615,0.24099999999998545,right,incorrect
7,angry_low,6,449.624,NA,NA,NA
7,angry_low,7,450.064,0.43899999999996453,right,incorrect
7,angry_low,9,450.427,NA,-50,wrong angry
7,angry_low,3,451.927,NA,NA,NA
8,sad_high,5,453.939,NA,NA,high
8,sad_high,11,455.142,NA,NA,NA
8,sad_high,12,455.261,0.1139999999999759,right,correct
8,sad_high,6,456.26800000000003,NA,NA,NA
8,sad_high,7,456.529,0.2599999999999909,right,correct
8,sad_high,9,457.074,NA,42,correct sad
8,sad_high,3,458.579,NA,NA,NA
9,sad_high,5,461.083,NA,NA,high
9,sad_high,11,462.281,NA,NA,NA
9,sad_high,12,462.399,0.1139999999999759,right,correct
9,sad_high,6,463.399,NA,NA,NA
9,sad_high,7,463.612,0.21300000000002228,right,correct
9,sad_high,9,464.206,NA,48,correct sad
9,sad_high,3,465.707,NA,NA,NA
10,angry_low,5,468.221,NA,NA,low
10,angry_low,11,469.419,NA,NA,NA
10,angry_low,12,469.707,0.2839999999999918,left,correct
10,angry_low,6,470.712,NA,NA,NA
10,angry_low,7,470.801,0.08899999999999864,left,correct
10,angry_low,9,471.51800000000003,NA,64,correct angry
10,angry_low,3,473.01800000000003,NA,NA,NA
11,angry_low,5,476.02,NA,NA,low
11,angry_low,11,477.218,NA,NA,NA
11,angry_low,12,477.447,0.2270000000000323,left,correct
11,angry_low,6,478.44800000000004,NA,NA,NA
11,angry_low,7,478.729,0.2799999999999727,left,correct
11,angry_low,9,479.254,NA,40,correct angry
11,angry_low,3,480.753,NA,NA,NA
12,angry_low,5,483.25600000000003,NA,NA,low
12,angry_low,11,484.461,NA,NA,NA
12,angry_low,12,484.693,0.2270000000000323,left,correct
12,angry_low,6,485.7,NA,NA,NA
12,angry_low,7,486.087,0.3860000000000241,left,correct
12,angry_low,9,486.505,NA,26,correct angry
12,angry_low,3,488.003,NA,NA,NA
13,sad_high,5,490.014,NA,NA,high
13,sad_high,11,491.211,NA,NA,NA
13,sad_high,12,491.482,0.26900000000000546,right,correct
13,sad_high,6,492.48900000000003,NA,NA,NA
13,sad_high,7,492.813,0.32399999999995543,right,correct
13,sad_high,9,493.296,NA,34,correct sad
13,sad_high,3,494.79400000000004,NA,NA,NA
14,sad_low,5,497.805,NA,NA,low
14,sad_low,11,499.00899999999996,NA,NA,NA
14,sad_low,12,499.15500000000003,0.14199999999993906,right,correct
14,sad_low,6,500.156,NA,NA,NA
14,sad_low,7,500.348,0.19100000000003092,right,correct
14,sad_low,9,500.96200000000005,NA,51,correct sad
14,sad_low,3,502.469,NA,NA,NA
15,angry_low,5,504.97100000000006,NA,NA,low
15,angry_low,11,506.175,NA,NA,NA
15,angry_low,12,506.44700000000006,0.2680000000000291,right,incorrect
15,angry_low,6,507.454,NA,NA,NA
15,angry_low,7,507.77000000000004,0.31500000000005457,right,incorrect
15,angry_low,9,508.25899999999996,NA,-50,wrong angry
15,angry_low,3,509.75899999999996,NA,NA,NA
16,angry_low,5,511.76900000000006,NA,NA,low
16,angry_low,11,512.968,NA,NA,NA
16,angry_low,12,513.2589999999999,0.29099999999994,right,incorrect
16,angry_low,6,514.26,NA,NA,NA
16,angry_low,7,514.4459999999999,0.18499999999994543,right,incorrect
16,angry_low,9,515.0659999999999,NA,-50,wrong angry
16,angry_low,3,516.5709999999999,NA,NA,NA
17,sad_high,5,519.0759999999999,NA,NA,high
17,sad_high,11,520.28,NA,NA,NA
17,sad_high,12,520.5859999999999,0.2999999999999545,right,correct
17,sad_high,6,521.587,NA,NA,NA
17,sad_high,7,521.8309999999999,0.2439999999999145,right,correct
17,sad_high,9,522.3929999999999,NA,44,correct sad
17,sad_high,3,523.8979999999999,NA,NA,NA
18,angry_high,5,525.894,NA,NA,high
18,angry_high,11,527.0989999999999,NA,NA,NA
18,angry_high,12,527.3839999999999,0.2799999999999727,right,incorrect
18,angry_high,6,528.3839999999999,NA,NA,NA
18,angry_high,7,528.7379999999999,0.3530000000000655,right,incorrect
18,angry_high,9,529.189,NA,-50,wrong angry
18,angry_high,3,530.689,NA,NA,NA
19,sad_high,5,533.192,NA,NA,high
19,sad_high,11,534.3979999999999,NA,NA,NA
19,sad_high,12,534.683,0.28099999999994907,left,incorrect
19,sad_high,6,535.6899999999999,NA,NA,NA
19,sad_high,7,535.9559999999999,0.26499999999998636,left,incorrect
19,sad_high,9,536.4939999999999,NA,-50,wrong sad
19,sad_high,3,537.995,NA,NA,NA
20,angry_low,5,541.002,NA,NA,low
20,angry_low,11,542.203,NA,NA,NA
20,angry_low,12,542.252,0.047000000000025466,right,incorrect
20,angry_low,6,543.2589999999999,NA,NA,NA
20,angry_low,7,543.6569999999999,0.3970000000000482,right,incorrect
20,angry_low,9,544.064,NA,-50,wrong angry
20,angry_low,3,545.564,NA,NA,NA
21,sad_high,5,547.5699999999999,NA,NA,high
21,sad_high,11,548.7719999999999,NA,NA,NA
21,sad_high,12,549.127,0.34699999999998,left,incorrect
21,sad_high,6,550.135,NA,NA,NA
21,sad_high,7,550.3549999999999,0.2199999999999136,left,incorrect
21,sad_high,9,550.939,NA,-50,wrong sad
21,sad_high,3,552.439,NA,NA,NA
22,angry_high,5,555.442,NA,NA,high
22,angry_high,11,556.64,NA,NA,NA
22,angry_high,12,557.2239999999999,0.5810000000000173,left,correct
22,angry_high,6,558.231,NA,NA,NA
