trial,trial_type,event_type,absolute_time,response_time,response,result
2,angry_low,9,333.9679000000022,NA,-50,wrong angry
2,angry_low,3,335.46830000000074,NA,NA,NA
3,sad_low,5,337.4874000000022,NA,NA,low
3,sad_low,11,338.7016999999992,NA,NA,NA
3,sad_low,12,339.08530000000076,0.36800000000005184,left,incorrect
3,sad_low,6,340.1015,NA,NA,NA
3,sad_low,7,340.5181000000015,0.4086000000015133,left,incorrect
3,sad_low,9,341.01769999999925,NA,-50,wrong sad
3,sad_low,3,342.51830000000075,NA,NA,NA
0,MAIN,8,345.54560000000146,NA,NA,NA
NA,MAIN,8,358.85519999999923,NA,NA,NA
NA,MAIN,3,358.8558000000007,NA,NA,NA
0,sad_high,5,361.85519999999923,NA,NA,high
0,sad_high,11,363.0851000000015,NA,NA,NA
0,sad_high,12,363.83580000000075,0.7358000000007223,right,correct
0,sad_high,6,364.852,NA,NA,NA
0,sad_high,7,365.45160000000146,0.589300000000776,right,correct
0,sad_high,9,365.6543000000007,NA,0,correct sad
0,sad_high,3,367.1686000000015,NA,NA,NA
1,angry_low,5,369.1724000000022,NA,NA,low
1,angry_low,11,370.40190000000223,NA,NA,NA
1,angry_low,12,370.83580000000075,0.4178000000007387,left,correct
1,angry_low,6,371.8526000000015,NA,NA,NA
1,angry_low,7,372.3516000000015,0.4883999999985349,left,correct
1,angry_low,9,372.6699000000022,NA,13,correct angry
1,angry_low,3,374.16780000000074,NA,NA,NA
2,sad_high,5,377.17960000000147,NA,NA,high
2,sad_high,11,378.40140000000224,NA,NA,NA
2,sad_high,12,378.78499999999997,0.36830000000077234,right,correct
2,sad_high,6,379.78619999999927,NA,NA,NA
2,sad_high,7,380.03499999999997,0.23510000000146647,right,correct
2,sad_high,9,380.60419999999925,NA,44,correct sad
2,sad_high,3,382.1181000000015,NA,NA,NA
3,sad_high,5,385.13019999999926,NA,NA,high
3,sad_high,11,386.35110000000145,NA,NA,NA
3,sad_high,12,386.7358000000007,0.369100000001481,right,correct
3,sad_high,6,387.7528000000007,NA,NA,NA
3,sad_high,7,387.9841000000015,0.21989999999851761,right,correct
3,sad_high,9,388.57119999999924,NA,46,correct sad
3,sad_high,3,390.0845,NA,NA,NA
4,angry_low,5,392.0886999999992,NA,NA,low
4,angry_low,11,393.3186000000015,NA,NA,NA
4,angry_low,12,393.351,0.023300000000745058,left,correct
4,angry_low,6,394.352,NA,NA,NA
4,angry_low,7,394.63519999999926,0.2828000000007478,left,correct
4,angry_low,9,395.1544000000022,NA,40,correct angry
4,angry_low,3,396.66869999999926,NA,NA,NA
5,sad_high,5,399.68169999999924,NA,NA,high
5,sad_high,11,400.90080000000074,NA,NA,NA
5,sad_high,12,401.28590000000224,0.36950000000001637,right,correct
5,sad_high,6,402.30280000000073,NA,NA,NA
5,sad_high,7,402.6184000000022,0.3146999999992772,right,correct
5,sad_high,9,403.1209000000022,NA,35,correct sad
5,sad_high,3,404.635,NA,NA,NA
6,angry_low,5,407.1471000000015,NA,NA,low
6,angry_low,11,408.3521000000015,NA,NA,NA
6,angry_low,12,408.6359000000022,0.26779999999700976,left,correct
6,angry_low,6,409.6529000000022,NA,NA,NA
6,angry_low,7,409.93540000000223,0.2820000000000391,left,correct
